C1	6.60	38.35	180.00	47uF	CAPRD550W60D1025H1250B
C2	6.60	29.72	0.00	100nF	CAP-THRU-2.54MM
J1	30.43	9.62	0.00	2638490000CONN8_2638490000_WED	CONN8_2638490000_WED
J2	10.43	9.62	0.00	2638490000CONN8_2638490000_WED	CONN8_2638490000_WED
J4	66.04	7.62	0.00	731000115COAX4GND_731000115_MOL	COAX4GND_731000115_MOL
JP1	12.70	24.13	180.00	PINHD-1X8	1X08
JP2	64.77	34.29	180.00	PINHD-1X3	1X03
R1	63.50	24.13	90.00	100	RESAD724W46L381D178B
U$1	50.80	22.23	180.00	NANO	NANO
U$10	35.56	67.31	90.00	PINPAD	PINPAD
U$11	35.56	69.85	90.00	PINPAD	PINPAD
U$2	35.56	46.99	90.00	PINPAD	PINPAD
U$3	35.56	54.61	90.00	PINPAD	PINPAD
U$4	35.56	52.07	90.00	PINPAD	PINPAD
U$5	35.56	49.53	90.00	PINPAD	PINPAD
U$6	35.56	57.15	90.00	PINPAD	PINPAD
U$7	35.56	59.69	90.00	PINPAD	PINPAD
U$8	35.56	62.23	90.00	PINPAD	PINPAD
U$9	35.56	64.77	90.00	PINPAD	PINPAD
U1	50.80	29.21	180.00	MAX485CPA+21-0043D_8_MXM	21-0043D_8_MXM
U2	50.80	15.24	0.00	MAX485CPA+21-0043D_8_MXM	21-0043D_8_MXM
