local_time,S1_uT,S2_uT,S3_uT,S4_uT,S5_uT,S6_uT,I1_A,I2_A,I3_A,I4_A,I5_A,I6_A,MC1_A,MV1_V,MC2_A,MV2_V,MC3_A,MV3_V,MC4_A,MV4_V,MC5_A,MV5_V,MC6_A,MV6_V
2025-11-11T13:43:23.053+01:00,20.600000,-23.927000,14.838000,-69.254000,-56.510000,-29.853000,0.006000,0.006000,0.006000,-0.006000,-0.006000,-0.006000,0.0,0.0,0.0,0.0,0.0,0.019,0.0,0.0,0.0,0.0,0.0,0.0
2025-11-11T13:43:23.920+01:00,20.615600,-23.965000,14.826200,-69.217200,-56.573000,-29.837200,0.145305,0.461886,1.845172,-3.293038,-0.903514,-1.438853,0.0,0.0,0.0,0.0,0.0,0.019,0.0,0.0,0.0,0.0,0.0,0.0
2025-11-11T13:43:25.360+01:00,19.521680,-23.335200,14.206360,-67.195360,-55.933000,-29.825960,0.250605,0.905725,3.622744,-6.488937,-1.801801,-2.849879,0.0,0.0,0.905,0.705,3.626,3.192,6.487,6.069,0.0,0.0,2.848,2.347
2025-11-11T13:43:26.920+01:00,17.637344,-22.243360,13.123888,-63.636688,-53.973200,-29.356168,0.239235,1.387605,5.351649,-9.582232,-2.617000,-4.273476,0.0,0.0,0.905,0.705,3.626,3.192,6.487,6.069,0.0,0.0,2.848,2.347
2025-11-11T13:43:29.090+01:00,15.133675,-20.774088,11.705310,-58.855150,-51.813560,-29.493534,0.067911,1.924621,7.022006,-12.543535,-3.330329,-5.733657,0.0,0.0,1.925,1.504,7.026,6.187,12.545,11.741,0.0,0.0,5.734,4.726
2025-11-11T13:43:29.849+01:00,12.067540,-19.147070,10.045448,-53.268520,-48.661648,-28.508828,-0.306266,2.533993,8.631919,-15.358221,-3.897052,-7.222896,0.0,0.0,1.925,1.504,7.026,6.187,12.545,11.741,0.0,0.0,5.734,4.726
2025-11-11T13:43:31.345+01:00,8.871832,-17.325856,8.293559,-47.206016,-45.267318,-27.470462,-0.877038,3.206482,10.162756,-17.995988,-4.321164,-8.727718,0.875,0.678,3.208,2.506,10.168,8.957,17.999,16.863,0.0,0.0,8.729,7.196
2025-11-11T13:43:32.104+01:00,5.811266,-15.492085,6.512847,-40.964613,-41.263055,-26.241970,-1.642904,3.947999,11.618939,-20.456951,-4.578879,-10.250751,0.875,0.678,3.208,2.506,10.168,8.957,17.999,16.863,0.0,0.0,8.729,7.196
2025-11-11T13:43:33.609+01:00,2.974213,-13.613068,4.788878,-34.739090,-37.328644,-25.122776,-2.560780,4.728076,12.972915,-22.709686,-4.702975,-11.762829,2.56,1.982,4.729,3.697,12.978,11.442,22.713,21.313,0.0,0.0,11.765,9.703
2025-11-11T13:43:34.334+01:00,0.599570,-11.869654,3.174902,-28.682472,-32.708315,-23.695821,-3.602274,5.540255,14.228163,-24.755848,-4.677472,-13.254534,2.56,1.982,4.729,3.697,12.978,11.442,22.713,21.313,0.0,0.0,11.765,9.703
2025-11-11T13:43:35.720+01:00,-1.356544,-10.208324,1.739322,-22.938178,-28.353252,-22.833856,-4.738210,6.375137,15.388487,-26.597521,-4.517080,-14.729543,4.739,3.665,6.376,4.988,15.394,13.586,26.599,25.001,0.0,0.0,14.733,12.159
2025-11-11T13:43:36.464+01:00,-2.800635,-8.735059,0.416257,-17.586742,-23.424202,-21.094285,-5.891616,7.180018,16.411796,-28.198517,-4.256050,-16.120739,4.739,3.665,6.376,4.988,15.394,13.586,26.599,25.001,0.0,0.0,14.733,12.159
2025-11-11T13:43:37.950+01:00,-3.755108,-7.409447,-0.695994,-12.760794,-18.615961,-19.341628,-7.013311,7.928819,17.287545,-29.552042,-3.921353,-17.404085,7.013,5.422,7.93,6.205,17.294,15.277,29.552,27.841,0.0,0.0,17.408,14.382
2025-11-11T13:43:38.693+01:00,-4.274687,-6.260958,-1.631795,-8.459035,-13.727169,-17.529902,-8.082426,8.620340,18.029275,-30.678086,-3.510254,-18.580168,7.013,5.422,7.93,6.205,17.294,15.277,29.552,27.841,0.0,0.0,17.408,14.382
2025-11-11T13:43:40.243+01:00,-4.413349,-5.267366,-2.355436,-4.730228,-9.083935,-15.776122,-9.076341,9.249249,18.647440,-31.592544,-3.032747,-19.647053,9.077,7.022,9.25,7.24,18.654,16.5,31.592,29.856,0.0,0.0,19.652,16.259
2025-11-11T13:43:40.965+01:00,-4.183079,-4.450093,-2.904149,-1.537182,-4.581748,-13.985898,-9.965790,9.802447,19.143046,-32.304149,-2.504808,-20.593607,9.077,7.022,9.25,7.24,18.654,16.5,31.592,29.856,0.0,0.0,19.652,16.259
2025-11-11T13:43:42.492+01:00,-3.728463,-3.844874,-3.293319,1.086854,-0.477399,-12.220318,-10.732763,10.269679,19.519467,-32.825201,-1.944792,-21.413403,10.734,8.307,10.271,8.044,19.526,17.296,32.825,31.11,0.0,0.0,21.418,17.75
2025-11-11T13:43:43.217+01:00,-3.058971,-3.325299,-3.497055,3.283083,3.369281,-10.474454,-11.374922,10.658679,19.796746,-33.179932,-1.352969,-22.115228,10.734,8.307,10.271,8.044,19.526,17.296,32.825,31.11,0.0,0.0,21.418,17.75
2025-11-11T13:43:45.484+01:00,-2.275177,-2.956840,-3.607444,4.999467,6.833825,-8.803564,-11.889731,10.969967,19.983918,-33.387553,-0.737755,-22.703286,11.891,9.207,10.972,8.6,19.991,17.739,33.387,31.797,0.0,0.0,22.709,18.861
2025-11-11T13:43:46.242+01:00,-1.418541,-2.732872,-3.586755,6.263573,10.010860,-7.171451,-12.296050,11.223643,20.111305,-33.486375,-0.086797,-23.200420,11.891,9.207,10.972,8.6,19.991,17.739,33.387,31.797,0.0,0.0,22.709,18.861
2025-11-11T13:43:47.750+01:00,-0.567833,-2.573497,-3.515204,7.146259,12.836088,-5.634761,-12.615307,11.439633,20.202896,-33.509949,0.610344,-23.628894,12.618,9.776,11.442,8.975,20.21,17.96,33.51,32.004,0.609,0.477,23.634,19.666
2025-11-11T13:43:48.505+01:00,0.169134,-2.367198,-3.276763,7.700207,14.821870,-4.261009,-12.865415,11.631551,20.279856,-33.483077,1.339097,-24.002774,12.618,9.776,11.442,8.975,20.21,17.96,33.51,32.004,0.609,0.477,23.634,19.666
2025-11-11T13:43:49.995+01:00,0.763907,-2.182558,-2.902211,7.878166,16.108696,-2.990207,-13.081410,11.827028,20.377028,-33.446801,2.105407,-24.350584,13.084,10.142,11.83,9.285,20.384,18.139,33.446,32.045,2.104,1.647,24.356,20.3
2025-11-11T13:43:50.759+01:00,1.180725,-1.975647,-2.481969,7.751532,16.323157,-1.919565,-13.246009,11.999762,20.469514,-33.386389,2.848657,-24.647764,13.084,10.142,11.83,9.285,20.384,18.139,33.446,32.045,2.104,1.647,24.356,20.3
2025-11-11T13:43:52.236+01:00,1.462980,-1.749917,-2.019775,7.453426,16.322726,-1.002852,-13.412728,12.196768,20.605848,-33.354034,3.608645,-24.943448,13.416,10.405,12.2,9.581,20.613,18.367,33.353,32.053,3.607,2.824,24.948,20.833
2025-11-11T13:43:52.975+01:00,1.574584,-1.565334,-1.533220,6.940541,15.543981,-0.220882,-13.571778,12.398414,20.768036,-33.339396,4.342322,-25.220383,13.416,10.405,12.2,9.581,20.613,18.367,33.353,32.053,3.607,2.824,24.948,20.833
2025-11-11T13:43:54.445+01:00,1.595667,-1.369067,-1.044176,6.368833,14.506384,0.476894,-13.730896,12.607910,20.958922,-33.347884,5.044515,-25.482749,13.733,10.656,12.611,9.91,20.966,18.707,33.348,32.144,5.044,3.947,25.487,21.326
2025-11-11T13:43:55.188+01:00,1.553534,-1.187054,-0.637141,5.697466,13.119708,1.056116,-13.869654,12.800789,21.149843,-33.359272,5.680553,-25.708475,13.733,10.656,12.611,9.91,20.966,18.707,33.348,32.144,5.044,3.947,25.487,21.326
2025-11-11T13:43:56.673+01:00,1.417427,-1.024443,-0.252513,4.958373,11.686166,1.561492,-14.015161,12.998756,21.361489,-33.397915,6.270839,-25.921089,14.018,10.884,13.003,10.226,21.369,19.089,33.397,32.288,6.271,4.908,25.925,21.735
2025-11-11T13:43:57.419+01:00,1.232342,-0.854954,0.084190,4.213498,10.049733,1.931594,-14.159115,13.190779,21.580180,-33.453222,6.798479,-26.112089,14.018,10.884,13.003,10.226,21.369,19.089,33.397,32.288,6.271,4.908,25.925,21.735
2025-11-11T13:43:58.949+01:00,1.029273,-0.712763,0.299752,3.495399,8.488586,2.201475,-14.293050,13.366340,21.789661,-33.514576,7.255883,-26.273997,14.296,11.107,13.37,10.52,21.796,19.498,33.514,32.496,7.256,5.68,26.278,22.075
2025-11-11T13:43:59.711+01:00,0.799819,-0.572811,0.512802,2.821319,6.857869,2.430580,-14.413050,13.520023,21.984346,-33.575240,7.636081,-26.402331,14.296,11.107,13.37,10.52,21.796,19.498,33.514,32.496,7.256,5.68,26.278,22.075
2025-11-11T13:44:01.240+01:00,0.582055,-0.454249,0.604441,2.190055,5.410095,2.512864,-14.517216,13.649506,22.156047,-33.631958,7.942961,-26.498837,14.52,11.288,13.652,10.75,22.163,19.855,33.631,32.706,7.944,6.219,26.503,22.309
2025-11-11T13:44:02.005+01:00,0.365844,-0.343799,0.673953,1.654844,4.030076,2.565491,-14.599044,13.748053,22.297093,-33.674935,8.172668,-26.557912,14.52,11.288,13.652,10.75,22.163,19.855,33.631,32.706,7.944,6.219,26.503,22.309
2025-11-11T13:44:03.536+01:00,0.179875,-0.250039,0.680962,1.197875,2.884061,2.573393,-14.658029,13.816112,22.405153,-33.702206,8.333307,-26.581849,14.661,11.406,13.819,10.89,22.412,20.107,33.702,32.869,8.334,6.526,26.585,22.423
2025-11-11T13:44:04.299+01:00,0.016500,-0.163231,0.673370,0.795500,1.815049,2.548314,-14.690215,13.850656,22.476707,-33.708989,8.424801,-26.568724,14.661,11.406,13.819,10.89,22.412,20.107,33.702,32.869,8.334,6.526,26.585,22.423
2025-11-11T13:44:05.828+01:00,-0.106200,-0.093785,0.634496,0.463200,0.913839,2.462652,-14.693195,13.850791,22.509802,-33.692388,8.451914,-26.519715,14.696,11.441,13.854,10.924,22.517,20.231,33.692,32.953,8.453,6.621,26.524,22.413
2025-11-11T13:44:06.592+01:00,-0.210960,-0.037028,0.573197,0.142160,0.137871,2.341521,-14.674247,13.824219,22.511327,-33.659705,8.426722,-26.443781,14.696,11.441,13.854,10.924,22.517,20.231,33.692,32.953,8.453,6.621,26.524,22.413
2025-11-11T13:44:08.085+01:00,-0.280368,0.010978,0.497957,-0.091072,-0.469903,2.232817,-14.627558,13.766860,22.476793,-33.604050,8.350542,-26.337175,14.63,11.395,13.77,10.866,22.484,20.23,33.604,32.956,8.351,6.543,26.341,22.299
